,LC_X,LC_Y,LF_X_1,LF_X_2,LF_X_3,LF_X_4,LF_X_5,LF_Y_1,LF_Y_2,LF_Y_3,LF_Y_4,LF_Y_5,LD,RC_X,RC_Y,RF_X_1,RF_X_2,RF_X_3,RF_X_4,RF_X_5,RF_Y_1,RF_Y_2,RF_Y_3,RF_Y_4,RF_Y_5,RD,Gesture_Class,Gesture_Name
216,-4,21,-2,9,3,11,2,10,-2,15,-1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
217,-18,27,-12,23,-12,20,-9,22,-14,23,-11,24,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
218,-14,27,-9,16,-3,12,-6,11,-3,11,-3,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
219,-14,24,-2,16,0,18,-4,18,-2,12,0,10,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
220,-13,22,-2,11,-7,6,2,11,-4,14,-2,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
221,-15,25,-10,13,-4,13,-2,13,-4,13,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
222,-4,19,-2,10,1,6,-5,9,-1,10,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
223,-6,17,-1,8,0,8,-2,10,-1,8,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
224,-7,26,-3,12,-4,10,0,12,-2,11,-4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
225,-3,17,-1,5,1,5,2,9,-2,8,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
226,-13,27,-5,10,-1,9,-4,10,-2,12,-3,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
227,-15,26,-1,8,-1,6,3,11,-4,10,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
228,-9,20,-2,8,-1,8,1,10,-1,6,-1,4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
229,-11,28,0,20,-4,16,-5,16,-6,13,-1,14,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
230,-2,17,-5,13,0,11,1,7,-2,7,-1,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
231,-1,20,-1,12,0,7,0,8,-3,12,-2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
232,-4,20,-1,15,2,8,-1,10,0,10,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
233,-1,18,-1,11,-4,10,-3,9,0,11,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
234,0,10,1,7,2,5,-4,4,-2,6,-1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
235,1,18,0,9,1,12,2,13,0,13,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
236,2,18,0,13,0,8,-2,10,0,13,-1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
237,-3,16,-3,10,-2,8,-3,7,-2,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
238,-1,20,2,9,1,2,5,9,3,9,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
239,7,15,2,11,4,6,5,11,3,12,3,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
240,-1,14,2,11,1,6,-1,13,3,11,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
241,4,7,2,5,2,8,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
242,5,11,1,6,1,3,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
243,8,7,3,3,1,4,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
244,4,6,4,2,0,5,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
245,0,12,0,12,6,7,-2,8,-2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
246,2,12,1,8,-1,3,-1,4,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
247,6,12,1,6,-2,8,0,4,2,8,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
248,-2,14,0,11,2,13,0,5,0,14,-1,12,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
249,8,11,6,7,1,5,2,3,3,6,5,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,MoveDown
250,4,-26,6,-16,-2,-5,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
251,2,-19,2,-15,-2,-14,4,-5,5,-10,-1,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
252,1,-21,1,-15,4,-17,1,-5,0,-11,1,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
253,-2,-17,3,-4,-2,-13,1,-9,-1,-9,-4,-12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
254,-4,-10,-2,-9,1,-6,0,-2,0,-7,2,-7,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
255,0,-19,3,-10,1,-12,-2,-6,2,-8,0,-8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
256,0,-29,5,-18,0,-18,-1,-12,0,-14,2,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
257,-1,-20,-1,-10,2,-5,2,-2,0,-8,1,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
258,-7,-26,-4,-14,1,-16,-2,-7,-4,-10,0,-16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
259,0,-24,2,-10,-4,-13,-2,-11,2,-8,-1,-7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
260,-2,-21,0,-11,-2,-11,3,-12,-3,-6,0,-4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
261,0,-18,-1,-10,1,-3,1,1,0,-9,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
262,5,-18,-1,-13,0,-10,-3,-1,-2,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
263,2,-21,-2,-12,3,-4,1,-11,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
264,3,-24,1,-8,-2,-8,-3,-7,-2,-2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
265,2,-24,-3,-12,-2,-8,-1,-6,-3,-6,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
266,11,-26,2,-16,5,-13,9,-14,6,-16,7,-17,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
267,11,-21,9,-6,0,-14,3,-7,7,-7,2,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
268,16,-25,4,-15,4,-13,6,-9,3,-11,-1,-3,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
269,6,-26,-3,0,-2,-3,-4,-1,3,-2,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
270,10,-20,3,-7,4,-3,7,-5,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
271,5,-22,6,-6,2,-2,2,-4,1,-1,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
272,5,-17,4,-2,3,-4,3,-6,-1,-1,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
273,7,-17,1,-12,-2,-8,-1,-3,1,-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
274,2,-17,-3,-3,-2,-12,2,-7,1,2,1,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
275,8,-19,1,1,1,-5,-5,-5,-1,-4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
276,7,-21,4,-7,2,-5,1,-4,-2,-1,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
277,8,-17,-1,-8,1,-3,4,0,2,1,4,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
278,11,-24,4,-10,3,-9,4,-10,2,-7,2,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
279,10,-23,5,-12,1,-12,5,-7,5,-11,-2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
280,8,-23,5,-9,0,-9,1,-8,-1,-4,0,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
281,7,-20,0,-13,0,-13,1,-5,1,-7,1,-6,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
282,1,-13,6,-5,1,-6,-1,-8,-1,-8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
283,3,-9,0,-10,-4,-3,0,-6,1,-5,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
284,8,-16,4,-11,-1,-8,6,-9,-1,-5,0,-7,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
285,1,-11,6,-8,0,-7,1,-3,-1,-6,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
286,5,-13,4,-5,-1,-3,0,-6,-2,-5,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
287,1,-11,-3,-3,2,-4,0,-3,1,-5,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
288,3,-17,5,-9,-6,-8,-3,-7,-1,-5,0,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
289,5,-17,2,-9,6,-9,4,-4,3,-6,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
290,3,-13,1,-7,2,-1,-1,0,4,-8,0,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
291,4,-11,0,-10,-2,-9,2,-4,-3,-8,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
292,7,-7,2,-4,-1,-4,1,-6,3,-6,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
293,7,-13,4,-5,0,-5,4,-6,5,-8,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
294,7,-14,4,-8,2,-7,5,-11,3,-10,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
295,3,-17,3,-7,0,-6,1,-8,-1,-11,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
296,7,-11,3,-8,2,-7,4,-9,1,-11,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
297,12,-11,6,-3,2,-5,4,-5,-2,-4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
298,7,-10,5,-8,1,-4,5,-5,2,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
299,11,-16,5,-11,2,-9,5,-9,5,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,MoveUp
